loan_id,segment,region,principal,interest_rate,tenor_months,fico,is_collateral,origination_month,default_flag
L001557,Retail,NE,11931.72,0.235,49,562,0,2023-02-01,0
L001558,Retail,NE,13839.63,0.082,10,696,1,2022-04-01,0
L001559,SME,NE,16462.22,0.11,50,584,1,2023-10-01,0
L001560,Corporate,S,43298.66,0.083,49,556,0,2023-03-01,0
L001561,Retail,MW,22465.1,0.066,16,558,1,2023-09-01,0
L001562,Retail,W,11211.94,0.24,44,571,0,2024-12-01,0
L001563,Retail,S,20438.53,0.23,9,740,1,2022-07-01,0
L001564,Retail,NE,5372.76,0.099,48,600,1,2024-11-01,0
L001565,Retail,W,14722.22,0.238,9,734,1,2022-05-01,0
L001566,Retail,W,75792.43,0.132,6,772,0,2024-10-01,0
L001567,Retail,MW,21370.7,0.138,56,814,0,2022-09-01,0
L001568,Retail,S,16375.54,0.207,35,639,0,2023-11-01,0
L001569,Retail,S,15438.51,0.12,52,703,0,2022-03-01,0
L001570,SME,S,28132.2,0.055,59,652,0,2022-04-01,0
L001571,SME,W,21545.55,0.179,57,591,0,2022-02-01,0
L001572,SME,S,16949.08,0.061,32,793,0,2023-09-01,0
L001573,Retail,W,20433.11,0.162,6,627,0,2024-03-01,0
L001574,Retail,S,22043.57,0.056,38,711,1,2023-09-01,0
L001575,Retail,NE,12983.81,0.238,44,676,1,2024-08-01,0
L001576,Retail,S,13369.13,0.097,57,678,1,2022-07-01,0
L001577,SME,NE,13741.8,0.202,54,591,0,2024-04-01,0
L001578,Retail,W,36121.12,0.12,52,650,0,2024-06-01,0
L001579,Retail,S,25679.81,0.115,33,720,0,2024-02-01,0
L001580,Corporate,S,22406.7,0.219,46,767,1,2023-11-01,0
L001581,Retail,S,62772.11,0.142,13,644,0,2024-06-01,0
L001582,Retail,NE,20296.41,0.106,6,609,0,2024-12-01,0
L001583,SME,NE,30154.51,0.098,6,561,1,2022-05-01,0
L001584,Corporate,W,12843.48,0.11,28,729,1,2024-05-01,0
L001585,Retail,S,29269.29,0.125,56,700,1,2023-11-01,0
L001586,Retail,S,12726.51,0.159,12,582,1,2022-03-01,0
L001587,Retail,NE,41002.07,0.218,22,635,1,2022-03-01,0
L001588,Retail,S,42096.21,0.125,11,703,0,2023-07-01,0
L001589,SME,W,18951.71,0.218,44,692,0,2024-02-01,0
L001590,Retail,W,18636.1,0.069,24,597,0,2024-02-01,0
L001591,SME,NE,26321.41,0.176,35,624,0,2024-08-01,0
L001592,Retail,MW,25563.05,0.09,32,693,0,2022-03-01,0
L001593,Retail,W,19447.12,0.139,17,677,1,2024-05-01,0
L001594,Retail,S,31977.95,0.072,6,691,0,2022-01-01,0
L001595,Retail,S,12177.29,0.2,24,605,0,2024-10-01,1
L001596,Retail,S,19694.52,0.13,50,818,0,2023-05-01,0
L001597,Retail,NE,10211.55,0.128,12,620,0,2022-10-01,0
L001598,Retail,W,25500.74,0.228,57,809,0,2023-01-01,0
L001599,Retail,NE,48031.79,0.234,40,772,0,2022-10-01,0
L001600,Retail,MW,16051.27,0.216,18,779,0,2022-02-01,0
L001601,Retail,MW,18817.47,0.069,32,604,0,2022-07-01,0
L001602,Retail,NE,40160.95,0.155,34,752,0,2024-02-01,0
L001603,Retail,NE,27003.97,0.226,14,612,0,2023-01-01,0
L001604,SME,W,13222.47,0.13,48,780,0,2022-10-01,0
L001605,Retail,MW,24621.44,0.233,38,661,1,2023-01-01,0
L001606,SME,S,15872.46,0.105,58,686,0,2024-08-01,0
L001607,Retail,MW,9617.95,0.117,40,761,0,2023-10-01,0
L001608,Retail,S,28902.87,0.052,28,793,0,2024-11-01,0
L001609,Retail,S,19336.76,0.18,15,619,0,2024-10-01,0
L001610,Retail,W,26584.71,0.119,48,553,0,2023-01-01,0
L001611,Retail,S,25223.12,0.149,15,707,0,2024-12-01,0
L001612,SME,S,30172.61,0.159,53,620,0,2022-09-01,0
L001613,Retail,NE,21110.82,0.128,13,682,0,2023-01-01,0
L001614,Retail,W,19031.38,0.133,52,792,0,2023-10-01,0
L001615,Retail,S,8544.4,0.232,58,765,1,2023-10-01,0
L001616,SME,MW,22171.65,0.121,55,640,0,2023-10-01,0
L001617,Corporate,S,25271.46,0.074,47,650,0,2022-01-01,0
L001618,Retail,S,30335.42,0.152,16,804,0,2022-05-01,0
L001619,Retail,S,18515.54,0.128,16,699,0,2024-02-01,0
L001620,Retail,MW,36900.35,0.173,24,747,0,2024-03-01,0
L001621,Retail,W,33060.58,0.189,31,567,0,2022-01-01,0
L001622,Retail,S,25243.99,0.063,13,588,0,2022-10-01,0
L001623,Retail,S,10529.18,0.088,30,639,0,2023-08-01,0
L001624,Corporate,S,16547.14,0.216,20,673,1,2024-11-01,0
L001625,Retail,NE,14235.19,0.211,47,660,0,2022-02-01,0
L001626,Retail,NE,12283.44,0.227,50,708,0,2023-01-01,0
L001627,Retail,S,14164.45,0.185,35,590,1,2024-04-01,0
L001628,SME,MW,14754.0,0.193,28,646,1,2024-06-01,0
L001629,Retail,W,18779.2,0.199,54,631,0,2024-05-01,0
L001630,Retail,S,21567.02,0.235,52,773,0,2023-12-01,0
L001631,Retail,MW,38237.33,0.115,19,617,0,2022-11-01,0
L001632,Retail,W,41352.94,0.199,53,742,0,2023-09-01,0
L001633,Retail,MW,17247.89,0.112,42,566,1,2024-07-01,0
L001634,SME,MW,44896.94,0.063,54,695,1,2023-11-01,0
L001635,Corporate,NE,21506.31,0.196,45,708,0,2024-06-01,0
L001636,Retail,MW,19429.19,0.205,47,570,0,2024-05-01,0
L001637,Corporate,S,39034.15,0.107,10,608,0,2023-03-01,1
L001638,Retail,W,14206.9,0.161,53,736,1,2023-01-01,0
L001639,Retail,S,17307.8,0.068,36,720,1,2022-02-01,0
L001640,Retail,W,42439.01,0.053,38,806,0,2024-10-01,0
L001641,Retail,NE,13160.63,0.113,59,613,0,2024-05-01,0
L001642,Retail,S,80745.84,0.207,36,655,0,2023-12-01,0
L001643,Retail,NE,29975.63,0.195,55,806,0,2024-07-01,0
L001644,Corporate,S,14854.32,0.067,19,637,1,2024-02-01,0
L001645,Retail,W,20568.25,0.206,49,619,0,2024-05-01,0
L001646,Retail,W,50473.21,0.229,44,563,0,2023-05-01,0
L001647,Retail,S,19761.26,0.175,32,750,0,2024-03-01,0
L001648,Retail,S,39939.01,0.113,22,601,0,2022-05-01,0
L001649,Retail,W,18201.63,0.117,41,812,0,2022-03-01,0
L001650,Retail,MW,12892.99,0.176,44,806,1,2024-03-01,0
L001651,Retail,W,16014.03,0.083,44,665,0,2023-01-01,0
L001652,Retail,W,6453.66,0.177,30,724,0,2023-05-01,0
L001653,Retail,S,32155.56,0.13,33,690,0,2022-09-01,0
L001654,Retail,NE,9343.57,0.182,8,708,0,2023-08-01,0
L001655,Retail,W,52362.13,0.174,29,683,1,2022-09-01,0
L001656,SME,NE,18277.19,0.211,26,819,0,2023-03-01,0
L001657,Retail,MW,10822.02,0.239,26,672,1,2023-02-01,0
L001658,Retail,MW,30216.93,0.064,38,762,0,2024-12-01,0
L001659,Retail,W,14811.62,0.148,6,578,0,2023-12-01,0
L001660,Retail,MW,31102.31,0.084,36,689,0,2022-08-01,0
L001661,Retail,MW,28071.76,0.069,12,566,0,2023-11-01,0
L001662,Retail,NE,49499.97,0.213,35,794,1,2023-06-01,0
L001663,Retail,MW,17778.59,0.187,24,689,0,2024-10-01,0
L001664,Retail,S,27152.36,0.126,45,581,1,2023-01-01,0
L001665,SME,S,25314.91,0.122,11,617,1,2023-04-01,0
L001666,Retail,NE,23582.15,0.153,6,581,0,2023-06-01,0
L001667,SME,S,18642.68,0.121,36,800,0,2023-05-01,0
L001668,Retail,MW,15652.03,0.055,34,705,0,2023-09-01,0
L001669,SME,S,21922.61,0.076,30,601,0,2022-01-01,0
L001670,Retail,S,8049.65,0.066,55,656,1,2024-04-01,0
L001671,Retail,W,25301.63,0.104,47,577,0,2022-08-01,0
L001672,Retail,S,11656.44,0.154,27,574,0,2023-01-01,0
L001673,Retail,W,10504.62,0.172,45,668,0,2024-11-01,0
L001674,Retail,W,33174.62,0.135,43,581,0,2023-09-01,1
L001675,Retail,MW,11802.54,0.212,29,597,0,2024-01-01,0
L001676,Retail,NE,22346.89,0.115,34,600,1,2022-04-01,0
L001677,SME,MW,12500.86,0.196,29,802,0,2024-02-01,0
L001678,Retail,W,39765.89,0.05,47,669,1,2023-03-01,0
L001679,Retail,MW,34633.79,0.208,42,679,1,2023-01-01,0
L001680,Retail,NE,59965.44,0.216,29,674,0,2022-02-01,0
L001681,Retail,NE,13198.24,0.239,11,744,1,2022-09-01,0
L001682,Retail,MW,32701.85,0.215,39,809,0,2022-04-01,0
L001683,Retail,MW,15024.95,0.21,57,806,1,2022-04-01,0
L001684,Retail,NE,20380.33,0.179,35,622,0,2023-05-01,0
L001685,Retail,W,15496.2,0.206,29,685,1,2022-08-01,0
L001686,Retail,NE,45363.53,0.147,49,660,0,2023-03-01,0
L001687,Retail,NE,13432.05,0.19,57,800,0,2023-04-01,0
L001688,Retail,NE,32098.18,0.224,32,743,0,2023-03-01,0
L001689,Retail,W,15892.47,0.175,28,797,1,2024-03-01,0
L001690,Retail,NE,15569.31,0.148,19,809,0,2023-12-01,1
L001691,Retail,NE,48870.84,0.079,46,795,0,2022-11-01,0
L001692,Retail,W,33155.46,0.198,57,764,0,2022-05-01,0
L001693,Retail,NE,48439.18,0.098,11,571,1,2024-06-01,1
L001694,Retail,W,25515.0,0.185,13,803,0,2023-06-01,0
L001695,Retail,NE,28679.22,0.239,7,758,1,2024-06-01,0
L001696,Retail,MW,24086.35,0.161,59,564,0,2024-03-01,0
L001697,SME,W,57742.15,0.228,8,770,1,2023-01-01,0
L001698,SME,NE,9656.09,0.052,24,718,1,2024-08-01,0
L001699,Retail,NE,14562.53,0.213,36,638,1,2022-10-01,0
L001700,SME,S,19727.77,0.053,16,647,0,2023-10-01,0
L001701,Retail,MW,21019.68,0.179,20,569,0,2024-03-01,0
L001702,Retail,W,18389.77,0.175,44,816,0,2024-08-01,0
L001703,Retail,S,51312.32,0.109,47,651,1,2024-10-01,0
L001704,Retail,W,23734.58,0.124,14,816,1,2023-08-01,0
L001705,Retail,NE,24521.31,0.19,18,684,0,2024-04-01,0
L001706,Retail,MW,8799.65,0.107,21,711,0,2023-11-01,0
L001707,SME,S,20989.54,0.134,46,806,1,2024-07-01,0
L001708,Retail,S,36513.13,0.23,34,817,1,2024-11-01,0
L001709,Retail,NE,28616.71,0.062,20,662,0,2023-03-01,0
L001710,Retail,NE,36787.97,0.238,35,595,0,2024-07-01,0
L001711,Retail,MW,25032.09,0.228,36,565,1,2024-03-01,0
L001712,Retail,W,19760.93,0.204,8,648,0,2023-12-01,0
L001713,Retail,S,12576.88,0.06,8,819,0,2022-01-01,0
L001714,SME,S,6790.16,0.104,12,613,0,2024-11-01,0
L001715,SME,S,22260.32,0.239,44,814,0,2022-10-01,0
L001716,SME,NE,11066.99,0.088,48,550,1,2022-03-01,0
L001717,SME,W,27464.72,0.097,59,572,1,2023-08-01,1
L001718,Retail,MW,22124.04,0.062,19,709,0,2024-08-01,0
L001719,Retail,NE,28274.91,0.177,54,559,0,2024-11-01,0
L001720,Retail,S,17133.49,0.238,47,626,0,2023-03-01,0
L001721,Retail,S,72428.88,0.233,49,767,0,2024-01-01,0
L001722,SME,W,22131.27,0.051,30,719,0,2024-10-01,0
L001723,Retail,W,24463.24,0.192,40,597,0,2024-11-01,0
L001724,Retail,S,23537.74,0.187,35,779,1,2022-06-01,0
L001725,SME,MW,9823.93,0.202,33,638,0,2022-02-01,0
L001726,SME,NE,49598.59,0.119,38,561,1,2022-01-01,0
L001727,SME,MW,21575.49,0.192,47,624,0,2022-06-01,0
L001728,Retail,S,12113.38,0.061,48,608,1,2023-02-01,0
L001729,SME,MW,21853.55,0.134,40,737,0,2023-05-01,0
L001730,Retail,S,35341.05,0.234,55,621,0,2024-07-01,0
L001731,SME,MW,38225.4,0.105,30,577,0,2024-11-01,1
L001732,Corporate,W,11124.09,0.077,12,682,0,2024-08-01,0
L001733,Retail,MW,42534.49,0.211,39,789,1,2022-09-01,0
L001734,SME,W,21584.86,0.232,15,692,1,2024-12-01,0
L001735,Retail,W,36439.75,0.214,7,621,0,2023-02-01,0
L001736,Retail,NE,20754.86,0.224,52,654,0,2023-10-01,0
L001737,Retail,MW,17186.95,0.06,37,718,0,2024-08-01,1
L001738,Retail,NE,20551.49,0.212,55,583,1,2022-03-01,0
L001739,Retail,W,20837.31,0.085,43,673,0,2024-01-01,0
L001740,Retail,MW,51626.0,0.165,36,691,1,2024-03-01,0
L001741,SME,NE,25779.6,0.073,17,754,0,2024-07-01,0
L001742,Retail,W,28601.36,0.133,56,600,0,2024-05-01,0
L001743,Retail,W,18091.03,0.14,46,816,0,2023-02-01,0
L001744,Retail,MW,34837.69,0.23,42,788,1,2023-12-01,0
L001745,Corporate,W,27729.48,0.128,51,652,1,2024-01-01,0
L001746,Retail,W,23782.45,0.119,52,732,0,2022-12-01,0
L001747,SME,W,31984.31,0.147,6,553,1,2024-10-01,0
L001748,Retail,W,34713.07,0.084,26,657,0,2024-07-01,0
L001749,Retail,W,14591.92,0.107,52,698,0,2024-05-01,0
L001750,SME,W,13148.83,0.092,46,818,1,2023-07-01,0
L001751,Retail,NE,50025.3,0.155,56,581,0,2023-12-01,0
L001752,SME,NE,16600.78,0.107,30,804,0,2023-05-01,1
L001753,Retail,NE,36492.27,0.234,52,688,0,2023-05-01,0
L001754,Retail,MW,35843.6,0.187,8,625,0,2022-07-01,0
L001755,Corporate,W,16228.71,0.152,54,640,0,2023-12-01,0
L001756,SME,NE,34140.71,0.184,30,751,0,2023-10-01,0
L001757,SME,MW,21988.46,0.185,22,608,0,2023-07-01,0
L001758,Retail,S,40648.41,0.141,23,710,0,2024-04-01,0
L001759,Retail,S,12717.06,0.052,21,665,1,2024-04-01,0
L001760,Retail,MW,31157.6,0.194,29,562,0,2023-09-01,0
L001761,Retail,S,14835.14,0.212,58,591,1,2023-02-01,0
L001762,Retail,MW,21488.38,0.198,41,747,0,2022-05-01,0
L001763,SME,NE,8535.9,0.062,11,714,1,2024-11-01,0
L001764,Retail,W,42240.85,0.233,22,763,1,2024-08-01,0
L001765,Retail,S,14961.97,0.197,58,789,0,2023-01-01,0
L001766,Corporate,MW,62571.36,0.192,58,706,0,2023-03-01,0
L001767,Retail,S,27823.82,0.182,13,618,0,2023-02-01,0
L001768,Retail,MW,35555.91,0.15,51,809,0,2024-04-01,0
L001769,Retail,NE,15035.84,0.22,8,645,0,2023-07-01,0
L001770,Retail,W,28150.03,0.214,44,689,1,2024-08-01,0
L001771,Retail,NE,8119.14,0.236,53,764,1,2024-07-01,0
L001772,Retail,S,28635.4,0.237,25,664,0,2022-03-01,0
L001773,Retail,S,15255.93,0.239,36,707,1,2022-01-01,0
L001774,Corporate,W,39238.99,0.209,41,615,1,2024-10-01,0
L001775,Retail,NE,33945.16,0.169,12,624,0,2024-04-01,0
L001776,Retail,MW,23018.39,0.126,28,817,1,2022-06-01,0
L001777,Retail,MW,28431.96,0.198,53,722,0,2022-01-01,0
L001778,Retail,NE,29463.7,0.183,31,736,1,2024-05-01,0
L001779,Retail,W,21481.62,0.164,40,768,0,2022-11-01,0
L001780,Retail,S,28168.24,0.236,7,703,0,2022-05-01,0
L001781,Retail,NE,23294.7,0.168,31,664,1,2023-02-01,0
L001782,Retail,W,58494.23,0.195,25,737,1,2022-08-01,1
L001783,Retail,S,32919.17,0.163,18,744,0,2023-01-01,0
L001784,Retail,W,22488.49,0.128,42,557,0,2023-05-01,0
L001785,Retail,S,22055.68,0.198,18,558,0,2023-04-01,0
L001786,Retail,W,25157.32,0.168,21,813,1,2022-02-01,0
L001787,SME,NE,38166.59,0.201,45,724,1,2023-10-01,0
L001788,Retail,MW,17694.8,0.131,25,627,1,2024-12-01,0
L001789,Retail,MW,41143.57,0.089,47,771,1,2023-02-01,0
L001790,Retail,NE,123697.92,0.077,44,671,1,2023-12-01,0
L001791,Retail,W,17480.61,0.195,33,566,0,2024-04-01,0
L001792,Retail,W,19036.33,0.151,20,819,1,2023-09-01,0
L001793,Retail,MW,25639.63,0.178,39,739,1,2023-04-01,0
L001794,Retail,W,20954.63,0.142,30,643,0,2022-03-01,0
L001795,Retail,MW,35475.51,0.141,33,793,1,2022-12-01,0
L001796,Retail,NE,28715.13,0.068,42,775,0,2023-08-01,0
L001797,Corporate,W,20380.5,0.156,8,579,0,2023-10-01,0
L001798,Retail,MW,23819.46,0.101,27,605,0,2024-06-01,0
L001799,Retail,MW,20460.51,0.104,27,703,1,2022-02-01,0
L001800,Retail,S,33898.99,0.198,37,575,0,2024-09-01,0
L001801,Retail,MW,52701.44,0.205,9,610,1,2023-06-01,0
L001802,Retail,W,26208.42,0.101,18,598,1,2023-06-01,0
L001803,Retail,W,51525.08,0.197,7,667,1,2024-06-01,0
L001804,Retail,MW,16156.21,0.144,19,800,0,2024-08-01,0
L001805,Retail,S,16687.06,0.205,42,550,1,2022-09-01,0
L001806,SME,S,39741.3,0.226,40,724,0,2023-02-01,0
L001807,SME,MW,26968.22,0.129,33,698,1,2022-09-01,0
L001808,Retail,NE,16506.67,0.119,7,720,1,2023-12-01,0
L001809,SME,W,15292.2,0.239,32,811,0,2023-09-01,0
L001810,Retail,S,19170.46,0.154,54,807,1,2023-06-01,0
L001811,Retail,S,11255.58,0.218,29,708,0,2024-01-01,0
L001812,Retail,NE,7632.2,0.16,22,717,0,2024-10-01,0
L001813,Retail,W,14495.3,0.11,6,767,0,2023-02-01,0
L001814,Retail,NE,11997.1,0.167,12,556,1,2024-04-01,0
L001815,Corporate,S,15399.57,0.236,38,772,0,2024-03-01,0
L001816,Retail,S,35790.38,0.123,14,554,0,2023-01-01,0
L001817,Retail,S,20790.5,0.082,13,745,0,2024-12-01,0
L001818,Retail,NE,16221.21,0.172,7,592,1,2023-04-01,0
L001819,Retail,MW,23295.75,0.146,33,728,0,2024-06-01,0
L001820,Retail,NE,37311.69,0.052,47,767,0,2022-09-01,0
L001821,Retail,NE,31560.22,0.207,9,693,1,2023-02-01,0
L001822,Retail,MW,16660.87,0.123,44,608,0,2024-08-01,0
L001823,Retail,S,20763.1,0.218,17,551,1,2022-11-01,0
L001824,Retail,W,5290.97,0.208,57,799,0,2024-07-01,0
L001825,Retail,NE,18443.46,0.114,39,586,0,2022-05-01,0
L001826,SME,NE,13073.01,0.18,16,800,0,2023-02-01,0
L001827,Retail,W,22638.6,0.065,20,773,0,2024-02-01,0
L001828,Retail,MW,22260.67,0.229,53,762,1,2024-10-01,0
L001829,Retail,NE,59828.27,0.115,13,615,0,2022-05-01,0
L001830,SME,S,16065.3,0.153,38,777,0,2023-12-01,0
L001831,Corporate,W,35140.98,0.113,40,738,0,2022-04-01,0
L001832,Retail,MW,8022.0,0.152,27,679,0,2024-09-01,0
L001833,Retail,MW,21826.26,0.153,10,716,0,2022-01-01,0
L001834,Retail,S,26852.35,0.206,7,782,0,2022-10-01,0
L001835,SME,W,17445.7,0.101,30,780,0,2022-11-01,1
L001836,SME,NE,12895.81,0.062,56,551,0,2024-05-01,0
L001837,SME,NE,23480.67,0.111,26,748,1,2022-02-01,0
L001838,Retail,NE,17126.52,0.069,51,667,1,2022-05-01,0
L001839,SME,MW,24816.75,0.089,18,666,1,2022-12-01,0
L001840,SME,S,34007.8,0.209,15,699,1,2022-03-01,0
L001841,Retail,W,21743.43,0.112,34,585,0,2023-06-01,0
L001842,Retail,S,17683.55,0.096,30,598,0,2022-03-01,0
L001843,Retail,S,39081.04,0.193,28,616,0,2022-07-01,0
L001844,Retail,NE,22917.31,0.162,16,687,1,2022-08-01,0
L001845,SME,W,35840.7,0.088,37,563,1,2023-07-01,0
L001846,SME,S,18460.39,0.077,12,629,0,2022-12-01,0
L001847,Retail,W,23192.12,0.159,13,607,0,2023-12-01,0
L001848,Retail,MW,15886.17,0.162,58,721,1,2022-04-01,0
L001849,Retail,S,23110.84,0.068,29,769,1,2024-11-01,0
L001850,Retail,NE,19279.73,0.11,57,731,0,2022-12-01,0
L001851,Retail,NE,12512.5,0.15,13,690,0,2024-10-01,0
L001852,Retail,NE,10465.96,0.072,38,607,1,2023-07-01,0
L001853,Retail,S,16916.76,0.16,7,767,0,2022-08-01,0
L001854,Retail,W,11216.98,0.112,30,569,0,2023-08-01,0
L001855,Retail,MW,48665.02,0.066,37,753,0,2024-03-01,0
L001856,Corporate,NE,20127.27,0.175,35,695,1,2024-07-01,0
L001857,Retail,W,24378.21,0.111,7,741,1,2022-01-01,0
L001858,SME,S,25924.08,0.138,57,814,1,2024-05-01,0
L001859,Retail,MW,15259.89,0.063,35,633,0,2023-09-01,0
L001860,Retail,NE,34832.2,0.166,12,747,1,2022-08-01,0
L001861,Retail,S,12683.16,0.064,9,605,0,2022-04-01,0
L001862,Retail,W,36067.86,0.065,11,809,0,2024-02-01,0
L001863,Retail,MW,11670.91,0.147,15,711,0,2023-11-01,0
L001864,SME,S,18121.0,0.105,8,619,0,2024-08-01,0
L001865,Retail,NE,26038.79,0.195,28,688,1,2024-02-01,0
L001866,Retail,S,23331.01,0.062,35,703,1,2024-12-01,0
L001867,Retail,S,38645.52,0.203,35,570,0,2024-07-01,0
L001868,SME,S,36633.83,0.099,9,722,1,2024-02-01,0
L001869,Retail,S,38758.78,0.075,9,777,1,2022-10-01,0
L001870,Retail,NE,21409.46,0.148,8,667,1,2022-05-01,0
L001871,Retail,MW,26234.0,0.187,39,749,0,2024-10-01,0
L001872,Retail,MW,13962.26,0.063,23,810,1,2023-09-01,0
L001873,Retail,MW,28438.56,0.144,57,621,0,2023-12-01,0
L001874,Retail,MW,21349.88,0.063,27,588,0,2022-01-01,0
L001875,Retail,NE,12740.99,0.225,17,595,0,2024-03-01,1
L001876,Retail,NE,27088.53,0.177,32,689,0,2023-06-01,0
L001877,SME,S,43750.45,0.222,33,701,1,2022-06-01,0
L001878,Retail,MW,21387.41,0.186,47,558,0,2022-03-01,0
L001879,Retail,MW,54673.72,0.19,30,615,1,2023-11-01,0
L001880,Corporate,MW,40797.91,0.126,27,733,1,2022-07-01,0
L001881,Retail,W,40388.61,0.146,22,730,1,2024-07-01,0
L001882,Retail,W,21387.01,0.207,8,654,1,2024-04-01,0
L001883,Retail,W,49445.83,0.176,26,732,0,2022-01-01,0
L001884,Retail,W,48748.62,0.075,44,741,0,2024-08-01,0
L001885,Retail,NE,17357.98,0.214,32,706,0,2024-11-01,0
L001886,Retail,NE,16494.57,0.146,42,667,0,2024-01-01,0
L001887,Retail,NE,21334.16,0.21,48,749,0,2022-03-01,0
L001888,Retail,S,15332.5,0.056,54,679,0,2024-08-01,0
L001889,Retail,S,7469.05,0.11,45,646,0,2022-12-01,0
L001890,Retail,S,14072.39,0.24,16,650,1,2024-10-01,0
L001891,Retail,MW,33343.82,0.123,9,623,0,2023-02-01,0
L001892,Retail,W,23877.71,0.166,32,774,0,2022-11-01,0
L001893,SME,S,51921.17,0.092,18,634,0,2022-11-01,0
L001894,Retail,S,14841.4,0.113,26,597,1,2024-11-01,0
L001895,Corporate,S,29665.5,0.159,11,775,0,2023-04-01,0
L001896,Retail,W,18373.73,0.159,57,591,1,2023-02-01,0
L001897,Retail,W,42877.03,0.217,29,767,0,2022-12-01,0
L001898,Retail,MW,21865.17,0.091,44,786,0,2022-01-01,0
L001899,Corporate,S,19733.6,0.065,37,808,0,2024-11-01,0
L001900,SME,NE,9102.79,0.192,30,657,1,2022-10-01,0
L001901,Retail,W,17755.35,0.159,44,603,1,2023-12-01,0
L001902,Retail,W,22850.14,0.138,55,709,0,2024-12-01,0
L001903,Retail,NE,30414.95,0.238,42,819,0,2022-05-01,0
L001904,Retail,MW,18895.44,0.135,42,800,1,2022-01-01,0
L001905,Retail,S,15456.83,0.231,53,603,0,2024-08-01,0
L001906,Retail,S,31936.76,0.112,55,581,0,2022-05-01,0
L001907,SME,W,11091.1,0.187,29,711,0,2022-04-01,0
L001908,Retail,MW,45165.72,0.117,49,814,0,2024-10-01,0
L001909,Retail,W,30424.85,0.177,40,763,0,2023-04-01,0
L001910,Retail,W,16876.97,0.091,50,580,1,2023-08-01,0
L001911,Retail,MW,38666.05,0.146,20,727,0,2022-09-01,0
L001912,Retail,MW,28272.07,0.072,18,560,0,2024-02-01,0
L001913,Retail,MW,18534.7,0.078,49,756,0,2022-08-01,0
L001914,SME,MW,49030.66,0.118,41,621,1,2024-09-01,0
L001915,SME,NE,13575.83,0.221,25,580,1,2022-05-01,0
L001916,Retail,W,12596.32,0.227,11,640,0,2024-02-01,1
L001917,Retail,W,19135.35,0.055,54,795,0,2024-11-01,0
L001918,Retail,S,15894.01,0.233,28,809,1,2022-12-01,0
L001919,Retail,MW,10126.57,0.21,17,630,0,2022-10-01,0
L001920,SME,S,6184.27,0.149,48,578,0,2022-07-01,0
L001921,Corporate,W,53310.45,0.118,40,624,1,2022-01-01,0
L001922,Retail,W,8162.29,0.142,23,629,0,2023-09-01,0
L001923,SME,MW,20003.49,0.136,11,648,1,2022-07-01,0
L001924,SME,W,21991.18,0.144,45,603,1,2022-08-01,0
L001925,Retail,W,57288.18,0.076,32,682,1,2023-07-01,0
L001926,Retail,MW,25559.74,0.108,25,550,0,2022-07-01,0
L001927,Retail,S,25053.99,0.181,39,766,1,2022-12-01,0
L001928,SME,S,39860.43,0.075,56,786,1,2022-12-01,0
L001929,Retail,S,29615.7,0.189,47,571,0,2022-11-01,0
L001930,Retail,MW,20247.34,0.194,55,782,0,2024-06-01,0
L001931,Retail,W,26643.28,0.231,52,658,0,2023-01-01,0
L001932,Retail,W,34380.45,0.055,38,667,0,2023-04-01,0
L001933,Retail,W,41201.45,0.232,58,558,1,2023-06-01,0
L001934,Retail,NE,12707.65,0.217,29,644,0,2023-01-01,0
L001935,SME,W,40580.29,0.191,27,631,1,2024-09-01,0
L001936,Retail,NE,21489.99,0.121,45,646,1,2022-09-01,0
L001937,Retail,MW,46417.03,0.072,56,659,0,2022-12-01,0
L001938,Retail,NE,32236.24,0.152,36,814,1,2023-10-01,0
L001939,Retail,MW,11320.4,0.085,39,706,0,2024-03-01,0
L001940,Retail,NE,25963.92,0.169,52,692,0,2024-03-01,0
L001941,Retail,S,35602.5,0.057,18,561,1,2023-11-01,0
L001942,Retail,W,25526.69,0.107,35,810,0,2022-10-01,0
L001943,SME,S,29937.96,0.132,26,707,0,2024-03-01,0
L001944,Retail,W,21322.11,0.109,40,692,0,2022-06-01,0
L001945,SME,NE,19144.64,0.106,19,780,0,2023-07-01,0
L001946,Retail,NE,11656.88,0.23,26,590,1,2024-10-01,0
L001947,Retail,MW,14245.09,0.116,39,659,1,2024-09-01,0
L001948,SME,W,17571.31,0.097,23,787,0,2024-01-01,0
L001949,Retail,NE,13718.72,0.065,29,755,0,2024-09-01,0
L001950,Retail,MW,15852.8,0.196,16,674,0,2024-02-01,0
L001951,Retail,S,30958.71,0.066,10,764,1,2022-02-01,0
L001952,Retail,NE,35182.31,0.179,58,576,1,2022-12-01,0
L001953,Retail,NE,13080.99,0.227,20,673,0,2023-02-01,0
L001954,SME,NE,31356.02,0.12,29,576,0,2023-10-01,0
L001955,Retail,S,12358.57,0.192,15,697,1,2024-02-01,0
L001956,Retail,W,12071.79,0.145,47,644,0,2022-06-01,0
L001957,Retail,MW,14082.15,0.149,43,644,0,2024-07-01,0
L001958,Retail,NE,16738.88,0.135,44,617,1,2023-08-01,0
L001959,SME,MW,10561.38,0.147,53,781,0,2022-12-01,0
L001960,Retail,S,17457.73,0.113,46,664,1,2024-12-01,0
L001961,Retail,NE,19198.18,0.15,19,576,0,2023-09-01,0
L001962,Retail,NE,22797.73,0.226,9,693,1,2023-07-01,0
